Generation, Total Members Evaluated, Generation, Gen. Iteration, Number Of Colors Used, Fittes Member Range, Execution Time (ms)
601518, 641600, 3014, 15, 17, 40082, 11563.6485
601502, 641600, 3014, 15, 17, 40098, 13921.738
601504, 641600, 3014, 15, 17, 40096, 14997.5949
561444, 601500, 2813, 14, 16, 40056, 14683.3592
601510, 641600, 3014, 15, 17, 40090, 12954.9291
561488, 601500, 2813, 14, 16, 40012, 12942.1174
601505, 641600, 3014, 15, 17, 40095, 13991.1508
561455, 601500, 2813, 14, 16, 40045, 12645.9796
601507, 641600, 3014, 15, 17, 40093, 13244.7099
601501, 641600, 3014, 15, 17, 40099, 15437.1708
601505, 641600, 3014, 15, 17, 40095, 14006.5753
601502, 641600, 3014, 15, 17, 40098, 13563.559
561463, 601500, 2813, 14, 16, 40037, 12350.3716
601501, 641600, 3014, 15, 17, 40099, 14843.4589
601509, 641600, 3014, 15, 17, 40091, 13843.4801
561435, 601500, 2813, 14, 16, 40065, 12817.1514
601510, 641600, 3014, 15, 17, 40090, 14825.7786
601506, 641600, 3014, 15, 17, 40094, 13213.3904
561426, 601500, 2813, 14, 16, 40074, 13143.0946
561492, 601500, 2813, 14, 16, 40008, 12930.1065

17 Color Solution, 13
16 Color Solution, 7

Select First point at Random,True
Average Execution Time,13595.96823
Population Size,100
Mutation Rate,0.003
Generation Cap,200
Intelligent Coloring,True
