Generation, Total Members Evaluated, Generation, Gen. Iteration, Number Of Colors Used, Fittes Member Range, Execution Time (ms)
601507, 641600, 3014, 15, 17, 40093, 11647.8274
561408, 601500, 2813, 14, 16, 40092, 10479.7065
601514, 641600, 3014, 15, 17, 40086, 10856.8919
601501, 641600, 3014, 15, 17, 40099, 11257.7084
561483, 601500, 2813, 14, 16, 40017, 9999.2308
601503, 641600, 3014, 15, 17, 40097, 10891.4515
601505, 641600, 3014, 15, 17, 40095, 11352.2199
601522, 641600, 3014, 15, 17, 40078, 10898.4091
561416, 601500, 2813, 14, 16, 40084, 10866.6481
561428, 601500, 2813, 14, 16, 40072, 10491.9483
521376, 561400, 2612, 13, 15, 40024, 8956.7033
601518, 641600, 3014, 15, 17, 40082, 11357.8605
561406, 601500, 2813, 14, 16, 40094, 11043.006
561427, 601500, 2813, 14, 16, 40073, 9413.6518
601503, 641600, 3014, 15, 17, 40097, 10752.5179
601502, 641600, 3014, 15, 17, 40098, 10706.8458
601509, 641600, 3014, 15, 17, 40091, 11418.9952
561413, 601500, 2813, 14, 16, 40087, 9988.2983
561446, 601500, 2813, 14, 16, 40054, 10275.9784
601503, 641600, 3014, 15, 17, 40097, 11248.9337

17 Color Solution, 11
16 Color Solution, 8
15 Color Solution, 1

Select First point at Random,False
Average Execution Time,10695.24164
Population Size,100
Mutation Rate,0.003
Generation Cap,200
Intelligent Coloring,True
